,id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount
0,1,2022-05-08T00:00:00,2,Ярославль,320,Олег,Сидоров,9,Ручка шариковая,1,45
1,2,2022-05-08T00:00:00,0,Москва,541,Оксана,Алексеева,4,Сахар песок,1,50
2,3,2022-05-08T00:00:00,2,Ярославль,121,Евгения,Морозова,9,Ручка шариковая,1,45
3,4,2022-05-08T00:00:00,2,Ярославль,571,Оксана,Павлова,4,Сахар песок,1,50
4,5,2022-05-08T00:00:00,2,Ярославль,210,Петр,Петров,0,Молоко 1%,2,200
5,6,2022-05-08T00:00:00,0,Москва,680,Алексей,Михайлов,6,Яблоко,3,420
6,7,2022-05-08T00:00:00,0,Москва,130,Евгений,Смирнов,11,Хлеб ржаной,2,40
7,8,2022-05-08T00:00:00,1,Ростов,421,Екатерина,Морозова,10,Томаты,2,100
8,9,2022-05-08T00:00:00,2,Ярославль,771,Анна,Павлова,7,Средство для мытья посуды,4,800
9,10,2022-05-08T00:00:00,1,Ростов,941,Надежда,Алексеева,8,Лампочка LED,2,600
10,11,2022-05-08T00:00:00,1,Ростов,440,Сергей,Кузнецов,7,Средство для мытья посуды,4,800
11,12,2022-05-08T00:00:00,2,Ярославль,290,Петр,Новиков,7,Средство для мытья посуды,3,600
12,13,2022-05-08T00:00:00,1,Ростов,151,Евгения,Лебедева,11,Хлеб ржаной,5,100
13,14,2022-05-08T00:00:00,1,Ростов,501,Оксана,Великая,6,Яблоко,3,420
14,15,2022-05-08T00:00:00,1,Ростов,920,Эдуард,Сидоров,10,Томаты,5,250
15,16,2022-05-08T00:00:00,2,Ярославль,900,Эдуард,Иванов,5,Яблоко молодильное,3,1200
16,17,2022-05-08T00:00:00,1,Ростов,0,Иван,Иванов,5,Яблоко молодильное,4,1600
17,18,2022-05-08T00:00:00,2,Ярославль,91,Александра,Орлова,1,Молоко 3%,3,360
18,19,2022-05-08T00:00:00,0,Москва,720,Константин,Сидоров,9,Ручка шариковая,5,225
19,20,2022-05-08T00:00:00,0,Москва,411,Екатерина,Федорова,9,Ручка шариковая,2,90
20,21,2022-05-08T00:00:00,1,Ростов,781,Анна,Козлова,8,Лампочка LED,3,900
21,22,2022-05-08T00:00:00,1,Ростов,320,Олег,Сидоров,1,Молоко 3%,4,480
22,23,2022-05-08T00:00:00,2,Ярославль,460,Сергей,Васильев,7,Средство для мытья посуды,2,400
23,24,2022-05-08T00:00:00,0,Москва,160,Евгений,Васильев,0,Молоко 1%,1,100
24,25,2022-05-08T00:00:00,1,Ростов,590,Александр,Новиков,6,Яблоко,1,140
25,26,2022-05-08T00:00:00,1,Ростов,750,Константин,Попов,4,Сахар песок,2,100
26,27,2022-05-08T00:00:00,2,Ярославль,650,Алексей,Попов,7,Средство для мытья посуды,2,400
27,28,2022-05-08T00:00:00,0,Москва,791,Анна,Орлова,9,Ручка шариковая,1,45
28,29,2022-05-08T00:00:00,1,Ростов,101,Евгения,Великая,7,Средство для мытья посуды,1,200
29,30,2022-05-08T00:00:00,2,Ярославль,781,Анна,Козлова,5,Яблоко молодильное,1,400
30,31,2022-05-08T00:00:00,2,Ярославль,351,Светлана,Лебедева,3,Устройство для нагревания табака Трубка Мира,2,1000
31,32,2022-05-08T00:00:00,0,Москва,831,Снежанна,Волкова,0,Молоко 1%,3,300
32,33,2022-05-08T00:00:00,1,Ростов,960,Эдуард,Васильев,5,Яблоко молодильное,3,1200
33,34,2022-05-08T00:00:00,0,Москва,240,Петр,Кузнецов,9,Ручка шариковая,5,225
34,35,2022-05-08T00:00:00,0,Москва,931,Надежда,Волкова,8,Лампочка LED,3,900
35,36,2022-05-08T00:00:00,1,Ростов,560,Александр,Васильев,0,Молоко 1%,5,500
36,37,2022-05-08T00:00:00,0,Москва,841,Снежанна,Алексеева,5,Яблоко молодильное,3,1200
37,38,2022-05-08T00:00:00,1,Ростов,890,Геннадий,Новиков,7,Средство для мытья посуды,1,200
38,39,2022-05-08T00:00:00,0,Москва,590,Александр,Новиков,4,Сахар песок,2,100
39,40,2022-05-08T00:00:00,0,Москва,771,Анна,Павлова,7,Средство для мытья посуды,4,800
40,41,2022-05-08T00:00:00,1,Ростов,941,Надежда,Алексеева,8,Лампочка LED,2,600
41,42,2022-05-08T00:00:00,1,Ростов,440,Сергей,Кузнецов,7,Средство для мытья посуды,4,800
42,43,2022-05-08T00:00:00,2,Ярославль,290,Петр,Новиков,7,Средство для мытья посуды,3,600
43,44,2022-05-08T00:00:00,1,Ростов,151,Евгения,Лебедева,11,Хлеб ржаной,5,100
44,45,2022-05-08T00:00:00,1,Ростов,501,Оксана,Великая,6,Яблоко,3,420
45,46,2022-05-08T00:00:00,1,Ростов,920,Эдуард,Сидоров,10,Томаты,5,250
46,47,2022-05-08T00:00:00,2,Ярославль,900,Эдуард,Иванов,5,Яблоко молодильное,3,1200
47,48,2022-05-08T00:00:00,1,Ростов,0,Иван,Иванов,5,Яблоко молодильное,4,1600
48,49,2022-05-08T00:00:00,2,Ярославль,91,Александра,Орлова,1,Молоко 3%,3,360
49,50,2022-05-08T00:00:00,0,Москва,720,Константин,Сидоров,9,Ручка шариковая,5,225
50,51,2022-05-08T00:00:00,0,Москва,411,Екатерина,Федорова,9,Ручка шариковая,2,90
51,52,2022-05-08T00:00:00,1,Ростов,781,Анна,Козлова,8,Лампочка LED,3,900
52,53,2022-05-08T00:00:00,1,Ростов,320,Олег,Сидоров,1,Молоко 3%,4,480
53,54,2022-05-08T00:00:00,2,Ярославль,460,Сергей,Васильев,7,Средство для мытья посуды,2,400
54,55,2022-05-08T00:00:00,0,Москва,160,Евгений,Васильев,0,Молоко 1%,1,100
55,56,2022-05-08T00:00:00,1,Ростов,590,Александр,Новиков,6,Яблоко,1,140
56,57,2022-05-08T00:00:00,1,Ростов,750,Константин,Попов,4,Сахар песок,2,100
57,58,2022-05-08T00:00:00,2,Ярославль,650,Алексей,Попов,7,Средство для мытья посуды,2,400
58,59,2022-05-08T00:00:00,0,Москва,791,Анна,Орлова,9,Ручка шариковая,1,45
59,60,2022-05-08T00:00:00,1,Ростов,101,Евгения,Великая,7,Средство для мытья посуды,1,200
60,61,2022-05-08T00:00:00,2,Ярославль,781,Анна,Козлова,5,Яблоко молодильное,1,400
61,62,2022-05-08T00:00:00,2,Ярославль,351,Светлана,Лебедева,3,Устройство для нагревания табака Трубка Мира,2,1000
62,63,2022-05-08T00:00:00,0,Москва,831,Снежанна,Волкова,0,Молоко 1%,3,300
63,64,2022-05-08T00:00:00,1,Ростов,960,Эдуард,Васильев,5,Яблоко молодильное,3,1200
64,65,2022-05-08T00:00:00,0,Москва,240,Петр,Кузнецов,9,Ручка шариковая,5,225
65,66,2022-05-08T00:00:00,0,Москва,931,Надежда,Волкова,8,Лампочка LED,3,900
66,67,2022-05-08T00:00:00,1,Ростов,560,Александр,Васильев,0,Молоко 1%,5,500
67,68,2022-05-08T00:00:00,0,Москва,841,Снежанна,Алексеева,5,Яблоко молодильное,3,1200
